question,optionA,optionB,optionC,optionD,optionE,optionF,answer
"以下の2つの文の意味の類似度は？
S1: 臨床症状,アミラーゼ,リパーゼ,トリプシン共に,速やかに改善した
S2: 血液検査でもアミラーゼ,リパーゼ,トリプシン共に,速やかに改善傾向を示した","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: 陸生哺乳類と違ってコウモリは移動範囲が非常に広いので,コウモリの種類の分布もさることながら,その狂犬病ウイルスの分布を型別に明らかにするのは難しい
S2: 陸生哺乳類と違ってコウモリは移動範囲が非常に広いので,コウモリの種類の分布もさることながら,その狂犬病ウイルスの分布範囲を型別に明らかにするのは難しい","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: セファロ分析:骨格型は上下顎とも前下方に成長しており、歯列型は上顎切歯の歯軸傾斜の改善が認められた
S2: セファロ分析;骨格型は上下顎とも前下方に成長しており、歯列型では上顎切歯の歯軸傾斜の改善が認められた","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: 虫垂は拡張し,内部には隔壁様構造と液体貯留を伴う
S2: 虫垂は拡張し,内部には隔壁様構造と液体貯留を伴っていた","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: 入院時所見:体格中等,栄養良好,眼球結膜に黄染を認めなかった
S2: 入院時現症:体格中等度,栄養良好で,眼険・眼球結膜に貧血,黄染は認めなかった","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: 水平断では,右鼠径部に腫瘤を認め,腹腔内との交通を認めた
S2: C:水平断:右鼠径部に腫瘤を認め(矢印),腹腔内との交通を認めた","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: 徒手整復を試みたが整復困難で,重積部分を含め回腸を約15cm切除した
S2: 整復を試みたが,整復できず,重積部分を含めて回腸を約15cm切除した(Fig","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: 5)口腔内X線所見:上下顎左右第三大臼歯を認める
S2: 5)口腔内X線所見:上下左右に第三大臼歯の存在が認められる","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: 高尿酸血症,尿酸過剰排泄,赤血球PRPP濃度上昇,　PRPPsyn活性充進を認めた
S2: 高尿酸血症,尿酸過剰排泄,赤血球中PRPP濃度上昇,　PRPPsyn活性充進を認めた","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
"以下の2つの文の意味の類似度は？
S1: あと300mL出血するとトリガー値の130mg/dLまで低下するので早めの輸血判断が必要となることがわかる
S2: この症例では,あと300mL出血するとトリガー値の130mg/dLまで低下するので早めの輸血判断が必要となることがわかる","A. 二つの文は完全に同等で、意味が同じである。
S1: 1例は血尿が消失しなかったため膀胱全摘除術を施工した。
S2: 1例は血尿が消失せず膀胱全摘除術を施行した。","B. 二つの文はほぼ同等だが、いくつかの重要ではない詳細が異なる。
S1: 頭部MRAでは、頭蓋内主幹動脈に異常は認めなかった。
S2: 頭部MRAでは頭蓋内主幹動脈に有意狭窄などは認めなかった。","C. 二つの文は大まかに同等だが、いくつかの重要な情報が異なっていたり欠けている。
S1: 臼歯部咬合関係は左右側ともAngelI級であった。
S2: 第一大臼歯部咬合関係は左右側ともにAngel H級であった。","D. 二つの文は同等ではないが、いくつかの詳細を共有している。
S1: 現在、保定開始後3年8ヶ月を経過している。
S2: 現在、保定12ヶ月を経過し、咬合状態は安定している。","E. 二つの文は同等ではないが、同じトピックに関している。
S1: その後臼歯拳上型スプリントを装着したが効果はなかった。
S2: 次に上顎にスプリントを装着し症状の軽減をはかりながら咬合位を確立していった。","F. 二つの文は完全に似ていない。
S1: しかし、自験例のように耐糖能異常のない症例は稀であった。
S2: しかし、自験例の病歴聴取では誘閣となるものは否定的であった。",A
