tag,question,optionA,optionB,answer
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「インフルから回復したら部活復帰しますね。」",インフルエンザである,インフルエンザでない,A
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「部活のあと熱が出て慌てて病院行ったらインフルだった。つらい。」",インフルエンザである,インフルエンザでない,A
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「寝すぎて背中痛い。インフルまじ勘弁」",インフルエンザである,インフルエンザでない,A
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「お兄ちゃんがインフルエンザになっちゃった。爆笑。」",インフルエンザである,インフルエンザでない,A
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「兄が昨晩手術だったのに、インフルで外出できなかったから、手土産の一つも持っていけなかったよ。」",インフルエンザである,インフルエンザでない,A
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「昨晩ついにインフル発症してしまった。」",インフルエンザである,インフルエンザでない,A
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「朝は頭痛だったけどソロソロ出勤しましょうかね。」",インフルエンザである,インフルエンザでない,B
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「今日の頭痛は本当にきついから薬が必要だ」",インフルエンザである,インフルエンザでない,B
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「今日で一週間、まだ熱が下がらないんだけど。」",インフルエンザである,インフルエンザでない,B
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「花粉症だと思ってたら、微熱が出てきて風邪だと判明！間違えることもあるんですね。」",インフルエンザである,インフルエンザでない,B
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「さっきニュースで携帯が熱持ちやすい問題についてやってたよ。」",インフルエンザである,インフルエンザでない,B
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「激しい頭痛に襲われてやばいからさっき帰宅した。寝る。」",インフルエンザである,インフルエンザでない,B
influenza,"SNSで以下の投稿をした本人または周囲の人間は、1日以内にインフルエンザでしたか？
「強引に鼻水を薬で止まると念じて格闘中。」",インフルエンザである,インフルエンザでない,B
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「下痢だけど仕事には行かないといけない。」",下痢である,下痢でない,A
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「下痢のせいで仕事に集中できない。」",下痢である,下痢でない,A
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「朝起きたら下痢だったつらい。」",下痢である,下痢でない,A
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「祖母の下痢が続いてて心配。」",下痢である,下痢でない,A
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「下痢気味で電車に乗るのはマジで笑えない。下痢止め使うわ」",下痢である,下痢でない,A
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「お腹を壊したが食べるの大好きな私はまだ今日の弁当への愛と熱は冷める事を知らない。」",下痢である,下痢でない,A
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「また今年も鳥インフルエンザの季節がやってきたなぁ。」",下痢である,下痢でない,B
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「鼻づまりから解消されてきて徐々に嗅覚が戻ってきた。すっごく嬉しい。」",下痢である,下痢でない,B
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「熱はないから問題ないよ。」",下痢である,下痢でない,B
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「犬と遊んでたら鼻づまり治った！」",下痢である,下痢でない,B
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「兄がインフルエンザ、爆笑」",下痢である,下痢でない,B
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「花粉症で微熱が続くのもあるようだ。」",下痢である,下痢でない,B
diarrhea,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に下痢でしたか？
「こんなひどい頭痛は久し振りだー。」",下痢である,下痢でない,B
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「早くも花粉症にやられて本当に疲れる。」",花粉症である,花粉症でない,A
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「くしゃみが止まらない。まさかこれが花粉症？」",花粉症である,花粉症でない,A
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「遂にわたしも花粉症になってしまった。」",花粉症である,花粉症でない,A
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「お医者さんで、花粉症に効果のある薬を処方していただきました。」",花粉症である,花粉症でない,A
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「花粉症治ったかと思ってたけど今年から再発したみたい」",花粉症である,花粉症でない,A
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「まさかこの年に花粉症になるなんて」",花粉症である,花粉症でない,A
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「病院で花粉症に効果がある薬を処方してもらった。」",花粉症である,花粉症でない,A
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「昨晩から、インフルエンザで高熱です。」",花粉症である,花粉症でない,B
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「下痢に負けずサッカーをした。」",花粉症である,花粉症でない,B
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「咳、痰を抑えることが大事だし必要だ。」",花粉症である,花粉症でない,B
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「鳥インフルエンザの検査って何分くらいかかるんだろ。」",花粉症である,花粉症でない,B
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「なんかがんばったら鼻づまり止んだ。」",花粉症である,花粉症でない,B
hayfever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に花粉症でしたか？
「集団の食中毒で下痢になったー。爆笑。」",花粉症である,花粉症でない,B
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「咳のときには、マスクするのがエチケット。」",咳・たんがでる,咳・たんがでない,A
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「わざとらしい咳をするなよ」",咳・たんがでる,咳・たんがでない,A
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「女性の咳っていろんなパターンあるよね。」",咳・たんがでる,咳・たんがでない,A
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「咳をするときは手で押さえるのがエチケットだろうが。」",咳・たんがでる,咳・たんがでない,A
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「病院行って診てもらったら、痰はむしろちゃんと吐いた方がいいっぽい。俺いままでずっと飲んでた・・・」",咳・たんがでる,咳・たんがでない,A
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「咳をしすぎて腹筋が痛い。」",咳・たんがでる,咳・たんがでない,A
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「痰を道端に吐いていく人は悪人だと思ってる。」",咳・たんがでる,咳・たんがでない,A
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「熱でてお腹も痛い。休むわ」",咳・たんがでる,咳・たんがでない,B
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「花粉症で鼻水が止まらなくて鼻かみすぎて鼻が痛い。」",咳・たんがでる,咳・たんがでない,B
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「部活のあとインフルのワクチン打ってきた。」",咳・たんがでる,咳・たんがでない,B
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「翻訳してたけど、頭痛をうまく訳せなーい。」",咳・たんがでる,咳・たんがでない,B
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「軽い頭痛がするので今日は早く寝ます。」",咳・たんがでる,咳・たんがでない,B
cough,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に咳・たんがでましたか？
「携帯の熱を冷ますには涼しい場所に置くのがいいらしい。」",咳・たんがでる,咳・たんがでない,B
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「頭痛が激しいので早退した」",頭痛がある,頭痛がない,A
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「風呂に入ったら頭痛が大分良くなったなー。」",頭痛がある,頭痛がない,A
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「風邪のせいか頭痛するし身体がだるい。早く帰りたいわ。」",頭痛がある,頭痛がない,A
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「朝から軽い頭痛。ソロソロ帰って風呂入って寝たいけどまだ頑張ってみる。」",頭痛がある,頭痛がない,A
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「ところで音楽を聴くと頭痛がひどくなる。」",頭痛がある,頭痛がない,A
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「長引く頭痛は苦痛以外の何ものでもない」",頭痛がある,頭痛がない,A
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「契約が必要と聞いて頭痛がしてきた」",頭痛がある,頭痛がない,B
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「英語を使うプレゼンの直前で緊張がピークに達したと思ったら急激な腹痛が来てまさかの下痢。」",頭痛がある,頭痛がない,B
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「鳥インフルエンザ流行ってるよね。怖い。」",頭痛がある,頭痛がない,B
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「まさか・・・いやまさか、花粉症なわけ・・・」",頭痛がある,頭痛がない,B
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「咳がやっと止まってきたよー。よかった」",頭痛がある,頭痛がない,B
headache,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に頭痛がありましたか？
「花粉症、まさかの突然回復」",頭痛がある,頭痛がない,B
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「嫁が熱出したんで、今日はコンビニ弁当」",熱がある,熱がない,A
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「インフルで寝てたから背中が痛くてたまらん。だれかマッサージして。」",熱がある,熱がない,A
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「熱が出たのはあのニュースのせいじゃないかなあ。」",熱がある,熱がない,A
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「土産にインフル置いていくとか勘弁して。」",熱がある,熱がない,A
